,unit,cluster_label,story_id
0,A slave named PERSON escapes from his master .,1819,0
1,Androcles flees to the forest .,3493,0
2,Androcles meets a lion lying down in pain .,419,0
3,PERSON is initially frightened and ready to flee .,4886,0
4,"The lion does not chase PERSON , and he turns back .",4122,0
5,The lion shows PERSON his painful paw .,4304,0
6,Androcles discovers a thorn causing the lion 's pain .,2635,0
7,Androcles removes the thorn from the lion 's paw .,2635,0
8,Androcles binds the lion 's paw .,419,0
9,"The lion is relieved and grateful , and licks PERSON ' hand .",303,0
10,The lion takes PERSON to his cave .,2618,0
11,The lion brings PERSON food every day .,3341,0
12,PERSON and the lion are captured .,419,0
13,Androcles is sentenced to be thrown to the lion .,419,0
14,The lion is starved for several days .,5264,0
15,The emperor and his court gather to watch the slave be thrown to the lion .,1474,0
16,The lion is released from its den and attacks PERSON .,419,0
17,The lion recognizes PERSON and displays friendly behavior .,303,0
18,The emperor is surprised by the lion 's behavior .,2319,0
19,PERSON recounts his story to the emperor .,766,0
20,The emperor pardons and frees PERSON .,766,0
21,The lion is released back to the forest .,303,0
22,A slave named PERSON escapes from his master and flees into the forest .,1819,1
23,"The slave , PERSON , wanders in the forest , weary and hungry .",2519,1
24,Androcles hears a lion near him moaning and groaning .,419,1
25,Androcles tries to flee from the lion but stumbles and falls .,419,1
26,"The lion , limping and holding its forepaw , approaches PERSON .",4304,1
27,PERSON sees that the lion has a thorn in its paw .,2635,1
28,Androcles pulls out the thorn from the lion 's paw .,2635,1
29,"The lion roars in pain , then shows relief and gratitude to Androcles .",303,1
30,"The lion starts to bring game to PERSON , instead of attacking him .",303,1
31,"PERSON and the lion form a bond , and PERSON becomes fond of the lion .",698,1
32,"Soldiers capture PERSON while he is in the forest , and take him back to town .",885,1
33,PERSON ' master finds him and brings him before the authorities for punishment .,3083,1
34,"PERSON is condemned to death and thrown to the lions , as per custom .",1212,1
35,"A lion is brought to the PERSON to attack PERSON , but instead , it shows affection .",698,1
36,The Emperor is surprised by the lion 's behavior and summons PERSON to explain .,2319,1
37,PERSON explains to the Emperor how the lion had shown gratitude in the forest .,766,1
38,The Emperor pardons PERSON and orders his master to set him free .,766,1
39,A knight hunts in the forest .,2878,2
40,"He meets a lame lion , who shows him his foot .",698,2
41,The knight removes a thorn from the lion 's foot .,2635,2
42,The knight applies medicine to the lion 's wound .,2635,2
43,The lion 's foot heals .,698,2
44,The king captures the lion and holds it captive .,698,2
45,The knight offends the king and flees to the forest .,2878,2
46,"The knight becomes a bandit , attacking travelers .",742,2
47,The king sends an army to capture the knight .,742,2
48,The knight is thrown into a pit to face a fasting lion .,1584,2
49,The lion recognizes the knight from their past encounter .,2635,2
50,The lion spares the knight 's life .,2635,2
51,The king learns about the lion 's actions and pardons the knight .,742,2
